Standard Stars G Band																										
#    	Image	Index 	Name  	Mag   	FWHM	Peak	Std?  	Error 	Error(T)	X	Y	Column	Row  	Backgr	S/N   	Mag Std	Residual	Net Count	Filter	Date	Time	JD	Airmass	ExpTime	Weight	Notes      
26	ngc2158_30_hi_g-0001_stack_wcs.fits	35	Mira-35	12.7602	0.0044	0.0041	06h07m30.083s	"23°58'32.702"""	990.829	549.984	516.061	267.5	0	161814	g''2	2/8/2022	38:01.1	2459618.696	0	30	1					
27	ngc2158_30_hi_g-0001_stack_wcs.fits	36	Mira-36	14.3757	0.0085	0.0103	06h07m35.975s	"23°58'04.361"""	870.482	501.437	475.972	105.6	0	36545.2	g''2	2/8/2022	38:01.1	2459618.696	0	30	1					
28	ngc2158_30_hi_g-0001_stack_wcs.fits	37	Mira-37	14.3251	0.0086	0.01	06h07m36.994s	"23°58'39.197"""	846.996	553.13	482.953	108.8	0	38288.8	g''2	2/8/2022	38:01.1	2459618.696	0	30	1					
29	ngc2158_30_hi_g-0001_stack_wcs.fits	38	Mira-38	14.5079	0.0088	0.0112	06h07m51.736s	"24°00'25.374"""	534.13	699.549	478.503	96.8	0	32354.6	g''2	2/8/2022	38:01.1	2459618.696	0	30	1					
30	ngc2158_30_hi_g-0001_stack_wcs.fits	30	Mira-39	12.861	0.0067	0.0043	06h06m49.737s	"24°07'17.563"""	1791.816	1383.144	476.081	255.1	0	147472	g''2	2/8/2022	38:01.1	2459618.696	0	30	1					
31	ngc2158_30_hi_g-0001_stack_wcs.fits	40	Mira-40	14.5595	0.0091	0.0115	06h06m59.524s	"24°07'01.672"""	1590.076	1349.44	456.478	94.4	0	30854.5	g''2	2/8/2022	38:01.1	2459618.696	0	30	1					
32	ngc2158_30_hi_g-0001_stack_wcs.fits	41	Mira-41	13.8378	0.0065	0.0073	06h07m14.078s	"24°06'55.162"""	1288.9	1325.317	466.922	148	0	59975.9	g''2	2/8/2022	38:01.1	2459618.696	0	30	1					
33	ngc2158_30_hi_g-0001_stack_wcs.fits	42	Mira-42	13.2616	0.0051	0.0053	06h07m10.820s	"24°03'55.902"""	1368.57	1057.447	472.067	205.7	0	101969	g''2	2/8/2022	38:01.1	2459618.696	0	30	1					
34	ngc2158_30_hi_g-0001_stack_wcs.fits	43	Mira-43	15.1114	0.0119	0.0168	06h07m16.641s	"24°05'28.708"""	1241.609	1192.09	448.954	64.7	0	18558.2	g''2	2/8/2022	38:01.1	2459618.696	0	30	1					
35	ngc2158_30_hi_g-0001_stack_wcs.fits	44	Mira-44	14.2971	0.0085	0.0097	06h07m28.545s	"24°03'31.951"""	1002.688	1003.974	466.957	111.5	0	39289.5	g''2	2/8/2022	38:01.1	2459618.696	0	30	1					
36	ngc2158_30_hi_g-0001_stack_wcs.fits	45	Mira-45	15.7081	0.0157	0.0265	06h07m41.776s	"24°01'30.482"""	736.4	807.538	463.011	40.9	0	10712	g''2	2/8/2022	38:01.1	2459618.696	0	30	1					
37	ngc2158_30_hi_g-0001_stack_wcs.fits	46	Mira-46	14.4306	0.0084	0.0106	06h08m07.628s	"24°09'24.054"""	169.301	1499.057	470.476	102.2	0	34744.3	g''2	2/8/2022	38:01.1	2459618.696	0	30	1					
38	ngc2158_30_hi_g-0001_stack_wcs.fits	47	Mira-47	13.0994	0.0048	0.0048	06h07m59.633s	"24°08'05.855"""	340.086	1388.367	490.019	224	0	118400	g''2	2/8/2022	38:01.1	2459618.696	0	30	1					
39	ngc2158_30_hi_g-0001_stack_wcs.fits	48	Mira-48	13.9441	0.0072	0.0078	06h07m50.932s	"24°07'33.171"""	522.549	1347.218	474.502	138.6	0	54382.3	g''2	2/8/2022	38:01.1	2459618.696	0	30	1					
40	ngc2158_30_hi_g-0001_stack_wcs.fits	49	Mira-49	14.1103	0.0073	0.0087	06h08m01.018s	"24°07'29.301"""	313.785	1331.777	475.968	125	0	46664.8	g''2	2/8/2022	38:01.1	2459618.696	0	30	1					
41	ngc2158_30_hi_g-0001_stack_wcs.fits	50	Mira-50	13.0709	0.0047	0.0048	06h07m40.483s	"24°06'52.334"""	741.819	1295.467	482.993	227.8	0	121547	g''2	2/8/2022	38:01.1	2459618.696	0	30	1					
42	ngc2158_30_hi_g-0001_stack_wcs.fits	51	Mira-51	12.8238	0.009	0.0042	06h06m57.487s	"24°01'53.992"""	1653.358	886.22	487.35	259.7	0	152611	g''2	2/8/2022	38:01.1	2459618.696	0	30	1					
43	ngc2158_30_hi_g-0001_stack_wcs.fits	52	Mira-52	14.101	0.0076	0.0086	06h07m11.877s	"24°00'18.946"""	1361.376	728.358	466.182	126.2	0	47064.1	g''2	2/8/2022	38:01.1	2459618.696	0	30	1					
